PF_ID,TYPE,XIRR,CURRENT_VALUE,TOTAL_TAX_PAID,EXIT_TAX
MFUf67db7ad85da45e0b254459f1ab25d03,A2 - lumpsum - 24M,0.083595,3727652.78,56015.61,1701.02
MFU54f3b50705154de99af2bd733f79d909,A2 - sip - 24M,0.122012,30899795.26,688896.41,10161.67
MFUf5625b488dff44ca91d0d9650e2c1891,A2 - sip - 24M,0.055053,5339741.1,70289.7,0
MFUf67db7ad85da45e0b254459f1ab25d03,A2 - sip - 24M,0.099401,3802045.69,56388.12,3520.59
MFU54f3b50705154de99af2bd733f79d909,B1 - lumpsum - 24M,0.090316,29647888.58,639759.84,953.78
MFUf5625b488dff44ca91d0d9650e2c1891,B1 - lumpsum - 24M,0.014623,5118563.11,62105.49,0
MFUf67db7ad85da45e0b254459f1ab25d03,B1 - lumpsum - 24M,0.059716,3618644.71,49766.43,1070.11
MFU54f3b50705154de99af2bd733f79d909,B1 - sip - 24M,0.102373,30112690.23,633275.05,1272.74
MFUf5625b488dff44ca91d0d9650e2c1891,B1 - sip - 24M,0.033672,5220912.56,63586.14,0
MFUf67db7ad85da45e0b254459f1ab25d03,B1 - sip - 24M,0.075845,3691832.74,49760.36,1679.73
MFU54f3b50705154de99af2bd733f79d909,B2 - lumpsum - 24M,0.103615,30161389.41,655563.72,1288.24
MFUf5625b488dff44ca91d0d9650e2c1891,B2 - lumpsum - 24M,0.033592,5220475.58,65079.18,0
MFUf67db7ad85da45e0b254459f1ab25d03,B2 - lumpsum - 24M,0.07987,3710383.83,52754.81,1806.6
MFU54f3b50705154de99af2bd733f79d909,B2 - sip - 24M,0.115277,30625627.39,648900.66,19758.35
MFUf5625b488dff44ca91d0d9650e2c1891,B2 - sip - 24M,0.052075,5322933.45,66655.76,0
MFUf67db7ad85da45e0b254459f1ab25d03,B2 - sip - 24M,0.095692,3784422.68,53696.34,4719.61
MFU54f3b50705154de99af2bd733f79d909,C1 - lumpsum - 24M,0.082869,29367640.78,519521.97,4838.93
MFUf5625b488dff44ca91d0d9650e2c1891,C1 - lumpsum - 24M,0.023243,5164480.55,53368.37,0
MFUf67db7ad85da45e0b254459f1ab25d03,C1 - lumpsum - 24M,0.062435,3630858.41,40853.45,1894.68
MFU54f3b50705154de99af2bd733f79d909,C1 - sip - 24M,0.105591,30239090.86,506842.92,76230.41
MFUf5625b488dff44ca91d0d9650e2c1891,C1 - sip - 24M,0.059355,5364176.41,56375.67,913.82
MFUf67db7ad85da45e0b254459f1ab25d03,C1 - sip - 24M,0.093619,3774618.58,43437.99,13314.13
MFU54f3b50705154de99af2bd733f79d909,C2 - lumpsum - 24M,0.080288,29271698.34,498062.93,6099.04
MFUf5625b488dff44ca91d0d9650e2c1891,C2 - lumpsum - 24M,0.022957,5162946.6,50990.36,0
MFUf67db7ad85da45e0b254459f1ab25d03,C2 - lumpsum - 24M,0.061683,3627475.5,39617.84,2138.85
MFU54f3b50705154de99af2bd733f79d909,C2 - sip - 24M,0.102825,30130389.14,485241.85,76239.93
MFUf5625b488dff44ca91d0d9650e2c1891,C2 - sip - 24M,0.058907,5361623.76,53959.58,1779.85
MFUf67db7ad85da45e0b254459f1ab25d03,C2 - sip - 24M,0.092791,3770712.94,41832.48,13548.34
MFU54f3b50705154de99af2bd733f79d909,VA1 - lumpsum - 24M,0.102275,30108886.51,729454.6,1040.52
MFUf5625b488dff44ca91d0d9650e2c1891,VA1 - lumpsum - 24M,0.017138,5131894.08,69323.53,0
MFUf67db7ad85da45e0b254459f1ab25d03,VA1 - lumpsum - 24M,0.065849,3646260.62,58099.08,1412.4
MFU54f3b50705154de99af2bd733f79d909,VA1 - sip - 24M,0.114388,30589760.99,722903.95,1362.5
MFUf5625b488dff44ca91d0d9650e2c1891,VA1 - sip - 24M,0.036331,5235459.36,70982.58,0
MFUf67db7ad85da45e0b254459f1ab25d03,VA1 - sip - 24M,0.082017,3720323.41,57567.88,1791.97
MFU54f3b50705154de99af2bd733f79d909,VA2 - lumpsum - 24M,0.115556,30636886.76,745034.37,1379.09
MFUf5625b488dff44ca91d0d9650e2c1891,VA2 - lumpsum - 24M,0.036068,5234018.3,72420.75,0
MFUf67db7ad85da45e0b254459f1ab25d03,VA2 - lumpsum - 24M,0.085798,3737910.63,60904.83,1651.03
MFU54f3b50705154de99af2bd733f79d909,VA2 - sip - 24M,0.127276,31117301.33,738320.19,1701.47
MFUf5625b488dff44ca91d0d9650e2c1891,VA2 - sip - 24M,0.054686,5337668.83,73981.65,0
MFUf67db7ad85da45e0b254459f1ab25d03,VA2 - sip - 24M,0.101652,3812785.55,60261.05,2509.5
MFU54f3b50705154de99af2bd733f79d909,VC1 - lumpsum - 24M,0.080365,29274524.45,460126.39,20722.02
MFUf5625b488dff44ca91d0d9650e2c1891,VC1 - lumpsum - 24M,0.030094,5201437.02,49588.44,0
MFUf67db7ad85da45e0b254459f1ab25d03,VC1 - lumpsum - 24M,0.063692,3636520.11,37194.5,4216.14
MFU54f3b50705154de99af2bd733f79d909,VC1 - sip - 24M,0.10243,30114918.09,447705.93,89298.77
MFUf5625b488dff44ca91d0d9650e2c1891,VC1 - sip - 24M,0.065527,5399549.67,52661.97,3659.32
MFUf67db7ad85da45e0b254459f1ab25d03,VC1 - sip - 24M,0.094538,3778960.93,39469.89,15918.88
MFU54f3b50705154de99af2bd733f79d909,pf,0.196757,34262852.52,137024.42,830117.88
MFUf5625b488dff44ca91d0d9650e2c1891,pf,0.036009,5233691.45,2860.6,49561.08
MFUf67db7ad85da45e0b254459f1ab25d03,pf,0.064006,3637934.55,8598.47,46265.77
